station_abbr;reference_timestamp;tre200d0;tre200dx;tre200dn;tre005d0;tre005dx;tre005dn;ure200d0;pva200d0;prestad0;pp0qffd0;ppz850d0;ppz700d0;pp0qnhd0;fkl010d0;fkl010d1;fu3010d0;fu3010d1;fkl010d3;fu3010d3;wcc006d0;rre150d0;rka150d0;htoautd0;gre000d0;oli000d0;olo000d0;osr000d0;ods000d0;sre000d0;sremaxdv;erefaod0;xcd000d0;dkl010d0;xno000d0;xno012d0;rreetsd0;tso005d0;tso010d0;tso020d0
GVE;01.01.1950 00:00;;;;;;;;;974.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;02.01.1950 00:00;;;;;;;;;976.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;03.01.1950 00:00;;;;;;;;;966.8;;;;;;;;;;;;37;;;;;;;;;;;;;;;;;;
GVE;04.01.1950 00:00;;;;;;;;;962.5;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;
GVE;05.01.1950 00:00;;;;;;;;;965.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;06.01.1950 00:00;;;;;;;;;966.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;07.01.1950 00:00;;;;;;;;;969.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;08.01.1950 00:00;;;;;;;;;972.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;09.01.1950 00:00;;;;;;;;;969.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;10.01.1950 00:00;;;;;;;;;976.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;11.01.1950 00:00;;;;;;;;;980.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;12.01.1950 00:00;;;;;;;;;981;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;13.01.1950 00:00;;;;;;;;;979.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;14.01.1950 00:00;;;;;;;;;979;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;15.01.1950 00:00;;;;;;;;;978.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;16.01.1950 00:00;;;;;;;;;969.2;;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;
GVE;17.01.1950 00:00;;;;;;;;;961.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;18.01.1950 00:00;;;;;;;;;963.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;19.01.1950 00:00;;;;;;;;;965.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;20.01.1950 00:00;;;;;;;;;966.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;21.01.1950 00:00;;;;;;;;;971.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;22.01.1950 00:00;;;;;;;;;971.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;23.01.1950 00:00;;;;;;;;;966.5;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;
GVE;24.01.1950 00:00;;;;;;;;;965.2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
GVE;25.01.1950 00:00;;;;;;;;;967.3;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;
GVE;26.01.1950 00:00;;;;;;;;;970.5;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
GVE;27.01.1950 00:00;;;;;;;;;970.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;28.01.1950 00:00;;;;;;;;;962.1;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;
GVE;29.01.1950 00:00;;;;;;;;;963.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;30.01.1950 00:00;;;;;;;;;968.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;31.01.1950 00:00;;;;;;;;;967.5;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
GVE;01.02.1950 00:00;;;;;;;;;967.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;02.02.1950 00:00;;;;;;;;;968.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;03.02.1950 00:00;;;;;;;;;968;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;04.02.1950 00:00;;;;;;;;;964.5;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
GVE;05.02.1950 00:00;;;;;;;;;963;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;
GVE;06.02.1950 00:00;;;;;;;;;956.8;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;
GVE;07.02.1950 00:00;;;;;;;;;968.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;08.02.1950 00:00;;;;;;;;;967.3;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;
GVE;09.02.1950 00:00;;;;;;;;;968.5;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;
GVE;10.02.1950 00:00;;;;;;;;;967.7;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;
GVE;11.02.1950 00:00;;;;;;;;;961.5;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
GVE;12.02.1950 00:00;;;;;;;;;964.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;13.02.1950 00:00;;;;;;;;;956;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
GVE;14.02.1950 00:00;;;;;;;;;961.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;15.02.1950 00:00;;;;;;;;;978.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;16.02.1950 00:00;;;;;;;;;983.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;17.02.1950 00:00;;;;;;;;;983.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;18.02.1950 00:00;;;;;;;;;978.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;19.02.1950 00:00;;;;;;;;;973.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;20.02.1950 00:00;;;;;;;;;966.7;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
GVE;21.02.1950 00:00;;;;;;;;;965.6;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;;;
GVE;22.02.1950 00:00;;;;;;;;;971.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;23.02.1950 00:00;;;;;;;;;968.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;24.02.1950 00:00;;;;;;;;;964;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;25.02.1950 00:00;;;;;;;;;949.6;;;;;;;;;;;;5.9;;;;;;;;;;;;;;;;;;
GVE;26.02.1950 00:00;;;;;;;;;945.1;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
GVE;27.02.1950 00:00;;;;;;;;;959.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;28.02.1950 00:00;;;;;;;;;961.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;01.03.1950 00:00;;;;;;;;;964.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;02.03.1950 00:00;;;;;;;;;970.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;03.03.1950 00:00;;;;;;;;;973;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;04.03.1950 00:00;;;;;;;;;975.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;05.03.1950 00:00;;;;;;;;;976.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;06.03.1950 00:00;;;;;;;;;980.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;07.03.1950 00:00;;;;;;;;;981.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;08.03.1950 00:00;;;;;;;;;976.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;09.03.1950 00:00;;;;;;;;;969;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;10.03.1950 00:00;;;;;;;;;965.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;11.03.1950 00:00;;;;;;;;;966.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;12.03.1950 00:00;;;;;;;;;964;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;13.03.1950 00:00;;;;;;;;;963.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;14.03.1950 00:00;;;;;;;;;966.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;15.03.1950 00:00;;;;;;;;;967.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;16.03.1950 00:00;;;;;;;;;967.5;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
GVE;17.03.1950 00:00;;;;;;;;;971.2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
GVE;18.03.1950 00:00;;;;;;;;;971.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;19.03.1950 00:00;;;;;;;;;965.5;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;;;
GVE;20.03.1950 00:00;;;;;;;;;968.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;21.03.1950 00:00;;;;;;;;;965.3;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
GVE;22.03.1950 00:00;;;;;;;;;970.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;23.03.1950 00:00;;;;;;;;;976.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;24.03.1950 00:00;;;;;;;;;976.3;;;;;;;;;;;;0.4;;;;;;;;;;;;;;;;;;
GVE;25.03.1950 00:00;;;;;;;;;970.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;26.03.1950 00:00;;;;;;;;;964.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;27.03.1950 00:00;;;;;;;;;966.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;28.03.1950 00:00;;;;;;;;;965.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;29.03.1950 00:00;;;;;;;;;960.3;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
GVE;30.03.1950 00:00;;;;;;;;;957.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;31.03.1950 00:00;;;;;;;;;962.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;01.04.1950 00:00;;;;;;;;;965.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;02.04.1950 00:00;;;;;;;;;955.6;;;;;;;;;;;;9.3;;;;;;;;;;;;;;;;;;
GVE;03.04.1950 00:00;;;;;;;;;948.8;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;
GVE;04.04.1950 00:00;;;;;;;;;957.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;05.04.1950 00:00;;;;;;;;;963.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;06.04.1950 00:00;;;;;;;;;965.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;07.04.1950 00:00;;;;;;;;;968.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;08.04.1950 00:00;;;;;;;;;970.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;09.04.1950 00:00;;;;;;;;;966.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;10.04.1950 00:00;;;;;;;;;965.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;11.04.1950 00:00;;;;;;;;;959.7;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;
GVE;12.04.1950 00:00;;;;;;;;;955.4;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;
GVE;13.04.1950 00:00;;;;;;;;;955.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;14.04.1950 00:00;;;;;;;;;955.7;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
GVE;15.04.1950 00:00;;;;;;;;;957;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
GVE;16.04.1950 00:00;;;;;;;;;962;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;17.04.1950 00:00;;;;;;;;;964.1;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;;;
GVE;18.04.1950 00:00;;;;;;;;;952.1;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;
GVE;19.04.1950 00:00;;;;;;;;;953.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;20.04.1950 00:00;;;;;;;;;956.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;21.04.1950 00:00;;;;;;;;;959.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;22.04.1950 00:00;;;;;;;;;960.9;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
GVE;23.04.1950 00:00;;;;;;;;;960.1;;;;;;;;;;;;1.2;;;;;;;;;;;;;;;;;;
GVE;24.04.1950 00:00;;;;;;;;;954.3;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
GVE;25.04.1950 00:00;;;;;;;;;958;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;26.04.1950 00:00;;;;;;;;;959.9;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
GVE;27.04.1950 00:00;;;;;;;;;966.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;28.04.1950 00:00;;;;;;;;;971.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;29.04.1950 00:00;;;;;;;;;973.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;30.04.1950 00:00;;;;;;;;;973.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;01.05.1950 00:00;;;;;;;;;972.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;02.05.1950 00:00;;;;;;;;;968.8;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
GVE;03.05.1950 00:00;;;;;;;;;968.4;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
GVE;04.05.1950 00:00;;;;;;;;;965.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;05.05.1950 00:00;;;;;;;;;966.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;06.05.1950 00:00;;;;;;;;;966.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;07.05.1950 00:00;;;;;;;;;966.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;08.05.1950 00:00;;;;;;;;;964.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;09.05.1950 00:00;;;;;;;;;964.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;10.05.1950 00:00;;;;;;;;;963.9;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
GVE;11.05.1950 00:00;;;;;;;;;965.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;12.05.1950 00:00;;;;;;;;;966.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;13.05.1950 00:00;;;;;;;;;964.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;14.05.1950 00:00;;;;;;;;;962.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;15.05.1950 00:00;;;;;;;;;961.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;16.05.1950 00:00;;;;;;;;;960.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;17.05.1950 00:00;;;;;;;;;958.2;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
GVE;18.05.1950 00:00;;;;;;;;;956.3;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;
GVE;19.05.1950 00:00;;;;;;;;;961.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;20.05.1950 00:00;;;;;;;;;965.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;21.05.1950 00:00;;;;;;;;;963.9;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
GVE;22.05.1950 00:00;;;;;;;;;966.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;23.05.1950 00:00;;;;;;;;;965.5;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
GVE;24.05.1950 00:00;;;;;;;;;966.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;25.05.1950 00:00;;;;;;;;;964.8;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;
GVE;26.05.1950 00:00;;;;;;;;;965.3;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;
GVE;27.05.1950 00:00;;;;;;;;;967.4;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
GVE;28.05.1950 00:00;;;;;;;;;972.2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
GVE;29.05.1950 00:00;;;;;;;;;976.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;30.05.1950 00:00;;;;;;;;;973.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;31.05.1950 00:00;;;;;;;;;970.2;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;
GVE;01.06.1950 00:00;;;;;;;;;969.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;02.06.1950 00:00;;;;;;;;;970.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;03.06.1950 00:00;;;;;;;;;971.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;04.06.1950 00:00;;;;;;;;;972.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;05.06.1950 00:00;;;;;;;;;973.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;06.06.1950 00:00;;;;;;;;;973.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;07.06.1950 00:00;;;;;;;;;972.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;08.06.1950 00:00;;;;;;;;;968.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;09.06.1950 00:00;;;;;;;;;965;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;10.06.1950 00:00;;;;;;;;;966.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;11.06.1950 00:00;;;;;;;;;969.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;12.06.1950 00:00;;;;;;;;;968.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;13.06.1950 00:00;;;;;;;;;966.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;14.06.1950 00:00;;;;;;;;;965.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;15.06.1950 00:00;;;;;;;;;965.3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
GVE;16.06.1950 00:00;;;;;;;;;963.2;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;
GVE;17.06.1950 00:00;;;;;;;;;964;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;
GVE;18.06.1950 00:00;;;;;;;;;967.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;19.06.1950 00:00;;;;;;;;;968.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;20.06.1950 00:00;;;;;;;;;965.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;21.06.1950 00:00;;;;;;;;;962.1;;;;;;;;;;;;14;;;;;;;;;;;;;;;;;;
GVE;22.06.1950 00:00;;;;;;;;;967;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;23.06.1950 00:00;;;;;;;;;968.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;24.06.1950 00:00;;;;;;;;;970.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;25.06.1950 00:00;;;;;;;;;970.6;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
GVE;26.06.1950 00:00;;;;;;;;;972.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;27.06.1950 00:00;;;;;;;;;973.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;28.06.1950 00:00;;;;;;;;;972.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;29.06.1950 00:00;;;;;;;;;970.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;30.06.1950 00:00;;;;;;;;;968.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;01.07.1950 00:00;;;;;;;;;968;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;02.07.1950 00:00;;;;;;;;;965.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;03.07.1950 00:00;;;;;;;;;964.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;04.07.1950 00:00;;;;;;;;;965.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;05.07.1950 00:00;;;;;;;;;966;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;
GVE;06.07.1950 00:00;;;;;;;;;965.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;07.07.1950 00:00;;;;;;;;;967.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;08.07.1950 00:00;;;;;;;;;969.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;09.07.1950 00:00;;;;;;;;;968.2;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
GVE;10.07.1950 00:00;;;;;;;;;967.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;11.07.1950 00:00;;;;;;;;;967.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;12.07.1950 00:00;;;;;;;;;966.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;13.07.1950 00:00;;;;;;;;;964.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;14.07.1950 00:00;;;;;;;;;965.1;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;
GVE;15.07.1950 00:00;;;;;;;;;967.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;16.07.1950 00:00;;;;;;;;;963.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;17.07.1950 00:00;;;;;;;;;966.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;18.07.1950 00:00;;;;;;;;;972.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;19.07.1950 00:00;;;;;;;;;973.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;20.07.1950 00:00;;;;;;;;;969.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;21.07.1950 00:00;;;;;;;;;965.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;22.07.1950 00:00;;;;;;;;;964.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;23.07.1950 00:00;;;;;;;;;964.9;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
GVE;24.07.1950 00:00;;;;;;;;;969.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;25.07.1950 00:00;;;;;;;;;968.9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;26.07.1950 00:00;;;;;;;;;966.2;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;27.07.1950 00:00;;;;;;;;;966.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;28.07.1950 00:00;;;;;;;;;965.7;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;
GVE;29.07.1950 00:00;;;;;;;;;966.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;30.07.1950 00:00;;;;;;;;;967.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;31.07.1950 00:00;;;;;;;;;964;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;01.08.1950 00:00;;;;;;;;;963.3;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;
GVE;02.08.1950 00:00;;;;;;;;;961.7;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
GVE;03.08.1950 00:00;;;;;;;;;964.1;;;;;;;;;;;;4.6;;;;;;;;;;;;;;;;;;
GVE;04.08.1950 00:00;;;;;;;;;967.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;05.08.1950 00:00;;;;;;;;;965.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;06.08.1950 00:00;;;;;;;;;963.7;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;07.08.1950 00:00;;;;;;;;;960.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;08.08.1950 00:00;;;;;;;;;962.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;09.08.1950 00:00;;;;;;;;;963.6;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;10.08.1950 00:00;;;;;;;;;965.8;;;;;;;;;;;;27;;;;;;;;;;;;;;;;;;
GVE;11.08.1950 00:00;;;;;;;;;970.9;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
GVE;12.08.1950 00:00;;;;;;;;;969.8;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;13.08.1950 00:00;;;;;;;;;967.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;14.08.1950 00:00;;;;;;;;;966.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;15.08.1950 00:00;;;;;;;;;966;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;16.08.1950 00:00;;;;;;;;;962.4;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;17.08.1950 00:00;;;;;;;;;959.4;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;
GVE;18.08.1950 00:00;;;;;;;;;961.5;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;19.08.1950 00:00;;;;;;;;;967.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;20.08.1950 00:00;;;;;;;;;971;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;21.08.1950 00:00;;;;;;;;;971;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;22.08.1950 00:00;;;;;;;;;970.3;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;23.08.1950 00:00;;;;;;;;;968.1;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;
GVE;24.08.1950 00:00;;;;;;;;;965.9;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;
GVE;25.08.1950 00:00;;;;;;;;;967.6;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;
